	ÐÐºÅ	 µ¥´Ê	 ÀàÐÍ	 ¼ÇºÅÐÎÊ½
	1	 int	 ¹Ø¼ü×Ö	 < int ,->
	6	 #	 ·Ö¸ô·û	 < # ,->
 	6	 include	 ±êÊ¶·û	 <id, 0 >
 	6	 <	 ²Ù×÷·û	 < < ,LT>
 	6	 stdio	 ±êÊ¶·û	 <id, 1 >
 	6	 .	 ·Ö¸ô·û	 < . ,->
 	6	 h	 ±êÊ¶·û	 <id, 2 >
 	6	 >	 ²Ù×÷·û	 < > ,GT>
 	7	 #	 ·Ö¸ô·û	 < # ,->
 	7	 include	 ±êÊ¶·û	 <id, 0 >
 	7	 <	 ²Ù×÷·û	 < < ,LT>
 	7	 stdlib	 ±êÊ¶·û	 <id, 3 >
 	7	 .	 ·Ö¸ô·û	 < . ,->
 	7	 h	 ±êÊ¶·û	 <id, 2 >
 	7	 >	 ²Ù×÷·û	 < > ,GT>
 	8	 #	 ·Ö¸ô·û	 < # ,->
 	8	 include	 ±êÊ¶·û	 <id, 0 >
 	8	 <	 ²Ù×÷·û	 < < ,LT>
 	8	 string	 ±êÊ¶·û	 <id, 4 >
 	8	 .	 ·Ö¸ô·û	 < . ,->
 	8	 h	 ±êÊ¶·û	 <id, 2 >
 	8	 >	 ²Ù×÷·û	 < > ,GT>
 	9	 #	 ·Ö¸ô·û	 < # ,->
 	9	 define	 ±êÊ¶·û	 <id, 5 >
 	9	 MAX	 ±êÊ¶·û	 <id, 6 >
 	9	 100	 ³£Êý	 <num, 100 >
	11	 '\n'	 ×Ö·û´®	 < '\n' ,->
 	13	 '\"'	 ×Ö·û´®	 < '\"' ,->
 	17	 1.111	 ³£Êý	 <num, 1.111 >
	18	 FILE	 ±êÊ¶·û	 <id, 7 >
 	18	 *	 ²Ù×÷·û	 < * ,->
 	18	 infile	 ±êÊ¶·û	 <id, 8 >
 	18	 ,	 ·Ö¸ô·û	 < , ,->
 	18	 *	 ²Ù×÷·û	 < * ,->
 	18	 outfile	 ±êÊ¶·û	 <id, 9 >
 	18	 ;	 ·Ö¸ô·û	 < ; ,->
 	19	 char	 ¹Ø¼ü×Ö	 < char ,->
	19	 strToken	 ±êÊ¶·û	 <id, 10 >
 	19	 [	 ·Ö¸ô·û	 < [ ,->
 	19	 MAX	 ±êÊ¶·û	 <id, 6 >
 	19	 ]	 ·Ö¸ô·û	 < ] ,->
 	19	 ;	 ·Ö¸ô·û	 < ; ,->
 	20	 char	 ¹Ø¼ü×Ö	 < char ,->
	20	 ch	 ±êÊ¶·û	 <id, 11 >
 	20	 ;	 ·Ö¸ô·û	 < ; ,->
 	21	 int	 ¹Ø¼ü×Ö	 < int ,->
	21	 pos	 ±êÊ¶·û	 <id, 12 >
 	21	 =	 ²Ù×÷·û	 < assign-op ,->
 	21	 0	 ³£Êý	 <num, 0 >
	21	 ;	 ·Ö¸ô·û	 < ; ,->
 	22	 int	 ¹Ø¼ü×Ö	 < int ,->
	22	 numberOflines	 ±êÊ¶·û	 <id, 13 >
 	22	 =	 ²Ù×÷·û	 < assign-op ,->
 	22	 1	 ³£Êý	 <num, 1 >
	22	 ;	 ·Ö¸ô·û	 < ; ,->
 	23	 int	 ¹Ø¼ü×Ö	 < int ,->
	23	 numberOfwords	 ±êÊ¶·û	 <id, 14 >
 	23	 =	 ²Ù×÷·û	 < assign-op ,->
 	23	 0	 ³£Êý	 <num, 0 >
	23	 ;	 ·Ö¸ô·û	 < ; ,->
 	24	 int	 ¹Ø¼ü×Ö	 < int ,->
	24	 numberOfchars	 ±êÊ¶·û	 <id, 15 >
 	24	 =	 ²Ù×÷·û	 < assign-op ,->
 	24	 -	 ²Ù×÷·û	 < - ,->
 	24	 1	 ³£Êý	 <num, 1 >
	24	 ;	 ·Ö¸ô·û	 < ; ,->
 	26	 char	 ¹Ø¼ü×Ö	 < char ,->
	26	 GetChar	 ±êÊ¶·û	 <id, 16 >
 	26	 (	 ·Ö¸ô·û	 < ( ,->
 	26	 )	 ·Ö¸ô·û	 < ) ,->
 	27	 {	 ·Ö¸ô·û	 < { ,->
 	28	 ch	 ±êÊ¶·û	 <id, 11 >
 	28	 =	 ²Ù×÷·û	 < assign-op ,->
 	28	 fgetc	 ±êÊ¶·û	 <id, 17 >
 	28	 (	 ·Ö¸ô·û	 < ( ,->
 	28	 infile	 ±êÊ¶·û	 <id, 8 >
 	28	 )	 ·Ö¸ô·û	 < ) ,->
 	28	 ;	 ·Ö¸ô·û	 < ; ,->
 	29	 if	 ¹Ø¼ü×Ö	 < if ,->
	29	 (	 ·Ö¸ô·û	 < ( ,->
 	29	 ch	 ±êÊ¶·û	 <id, 11 >
 	29	 =	 ²Ù×÷·û	 < assign-op ,->
 	29	 =	 ²Ù×÷·û	 < assign-op ,->
 	29	 EOF	 ±êÊ¶·û	 <id, 18 >
 	29	 )	 ·Ö¸ô·û	 < ) ,->
 	30	 printf	 ±êÊ¶·û	 <id, 19 >
 	30	 (	 ·Ö¸ô·û	 < ( ,->
 	30	 "\n source.txt çš„è¯æ³•åˆ†æžå·²å®Œæˆ,åˆ†æžç»“æžœè®°å½•åœ¨ out.txt\n\n"	 ×Ö·û´®	 < "\n source.txt çš„è¯æ³•åˆ†æžå·²å®Œæˆ,åˆ†æžç»“æžœè®°å½•åœ¨ out.txt\n\n" ,->
 	30	 )	 ·Ö¸ô·û	 < ) ,->
 	30	 ;	 ·Ö¸ô·û	 < ; ,->
 	31	 numberOfchars	 ±êÊ¶·û	 <id, 15 >
 	31	 ++	 ²Ù×÷·û	 < ++ ,->
 	31	 ;	 ·Ö¸ô·û	 < ; ,->
 	32	 return	 ¹Ø¼ü×Ö	 < return ,->
	32	 ch	 ±êÊ¶·û	 <id, 11 >
 	32	 ;	 ·Ö¸ô·û	 < ; ,->
 	33	 }	 ·Ö¸ô·û	 < } ,->
 	35	 void	 ¹Ø¼ü×Ö	 < void ,->
	35	 GetBC	 ±êÊ¶·û	 <id, 20 >
 	35	 (	 ·Ö¸ô·û	 < ( ,->
 	35	 )	 ·Ö¸ô·û	 < ) ,->
 	36	 {	 ·Ö¸ô·û	 < { ,->
 	37	 while	 ¹Ø¼ü×Ö	 < while ,->
	37	 (	 ·Ö¸ô·û	 < ( ,->
 	37	 ch	 ±êÊ¶·û	 <id, 11 >
 	37	 =	 ²Ù×÷·û	 < assign-op ,->
 	37	 =	 ²Ù×÷·û	 < assign-op ,->
 	37	 ' '	 ×Ö·û´®	 < ' ' ,->
 	37	 ch	 ±êÊ¶·û	 <id, 11 >
 	37	 =	 ²Ù×÷·û	 < assign-op ,->
 	37	 =	 ²Ù×÷·û	 < assign-op ,->
 	37	 '\t'	 ×Ö·û´®	 < '\t' ,->
 	37	 ch	 ±êÊ¶·û	 <id, 11 >
 	37	 =	 ²Ù×÷·û	 < assign-op ,->
 	37	 =	 ²Ù×÷·û	 < assign-op ,->
 	37	 '\b'	 ×Ö·û´®	 < '\b' ,->
 	37	 ch	 ±êÊ¶·û	 <id, 11 >
 	37	 =	 ²Ù×÷·û	 < assign-op ,->
 	37	 =	 ²Ù×÷·û	 < assign-op ,->
 	37	 '\n'	 ×Ö·û´®	 < '\n' ,->
 	37	 )	 ·Ö¸ô·û	 < ) ,->
 	38	 {	 ·Ö¸ô·û	 < { ,->
 	39	 if	 ¹Ø¼ü×Ö	 < if ,->
	39	 (	 ·Ö¸ô·û	 < ( ,->
 	39	 ch	 ±êÊ¶·û	 <id, 11 >
 	39	 =	 ²Ù×÷·û	 < assign-op ,->
 	39	 =	 ²Ù×÷·û	 < assign-op ,->
 	39	 '\n'	 ×Ö·û´®	 < '\n' ,->
 	39	 )	 ·Ö¸ô·û	 < ) ,->
 	40	 numberOflines	 ±êÊ¶·û	 <id, 13 >
 	40	 ++	 ²Ù×÷·û	 < ++ ,->
 	40	 ;	 ·Ö¸ô·û	 < ; ,->
 	41	 GetChar	 ±êÊ¶·û	 <id, 16 >
 	41	 (	 ·Ö¸ô·û	 < ( ,->
 	41	 )	 ·Ö¸ô·û	 < ) ,->
 	41	 ;	 ·Ö¸ô·û	 < ; ,->
 	42	 }	 ·Ö¸ô·û	 < } ,->
 	43	 }	 ·Ö¸ô·û	 < } ,->
 	45	 void	 ¹Ø¼ü×Ö	 < void ,->
	45	 Concat	 ±êÊ¶·û	 <id, 21 >
 	45	 (	 ·Ö¸ô·û	 < ( ,->
 	45	 char	 ¹Ø¼ü×Ö	 < char ,->
	45	 ch	 ±êÊ¶·û	 <id, 11 >
 	45	 )	 ·Ö¸ô·û	 < ) ,->
 	46	 {	 ·Ö¸ô·û	 < { ,->
 	47	 strToken	 ±êÊ¶·û	 <id, 10 >
 	47	 [	 ·Ö¸ô·û	 < [ ,->
 	47	 pos	 ±êÊ¶·û	 <id, 12 >
 	47	 ++	 ²Ù×÷·û	 < ++ ,->
 	47	 ]	 ·Ö¸ô·û	 < ] ,->
 	47	 =	 ²Ù×÷·û	 < assign-op ,->
 	47	 ch	 ±êÊ¶·û	 <id, 11 >
 	47	 ;	 ·Ö¸ô·û	 < ; ,->
 	48	 }	 ·Ö¸ô·û	 < } ,->
 	50	 int	 ¹Ø¼ü×Ö	 < int ,->
	50	 IsLetter	 ±êÊ¶·û	 <id, 22 >
 	50	 (	 ·Ö¸ô·û	 < ( ,->
 	50	 char	 ¹Ø¼ü×Ö	 < char ,->
	50	 ch	 ±êÊ¶·û	 <id, 11 >
 	50	 )	 ·Ö¸ô·û	 < ) ,->
 	51	 {	 ·Ö¸ô·û	 < { ,->
 	52	 if	 ¹Ø¼ü×Ö	 < if ,->
	52	 (	 ·Ö¸ô·û	 < ( ,->
 	52	 (	 ·Ö¸ô·û	 < ( ,->
 	52	 ch	 ±êÊ¶·û	 <id, 11 >
 	52	 >=	 ²Ù×÷·û	 < >= ,GE>
 	52	 'a'	 ×Ö·û´®	 < 'a' ,->
 	52	 ch	 ±êÊ¶·û	 <id, 11 >
 	52	 <=	 ²Ù×÷·û	 < <= ,LE>
 	52	 'z'	 ×Ö·û´®	 < 'z' ,->
 	52	 )	 ·Ö¸ô·û	 < ) ,->
 	52	 (	 ·Ö¸ô·û	 < ( ,->
 	52	 ch	 ±êÊ¶·û	 <id, 11 >
 	52	 >=	 ²Ù×÷·û	 < >= ,GE>
 	52	 'A'	 ×Ö·û´®	 < 'A' ,->
 	52	 ch	 ±êÊ¶·û	 <id, 11 >
 	52	 <=	 ²Ù×÷·û	 < <= ,LE>
 	52	 'Z'	 ×Ö·û´®	 < 'Z' ,->
 	52	 )	 ·Ö¸ô·û	 < ) ,->
 	52	 )	 ·Ö¸ô·û	 < ) ,->
 	53	 return	 ¹Ø¼ü×Ö	 < return ,->
	53	 1	 ³£Êý	 <num, 1 >
	53	 ;	 ·Ö¸ô·û	 < ; ,->
 	54	 else	 ¹Ø¼ü×Ö	 < else ,->
	54	 return	 ¹Ø¼ü×Ö	 < return ,->
	54	 0	 ³£Êý	 <num, 0 >
	54	 ;	 ·Ö¸ô·û	 < ; ,->
 	55	 }	 ·Ö¸ô·û	 < } ,->
 	57	 int	 ¹Ø¼ü×Ö	 < int ,->
	57	 IsDigit	 ±êÊ¶·û	 <id, 23 >
 	57	 (	 ·Ö¸ô·û	 < ( ,->
 	57	 char	 ¹Ø¼ü×Ö	 < char ,->
	57	 ch	 ±êÊ¶·û	 <id, 11 >
 	57	 )	 ·Ö¸ô·û	 < ) ,->
 	58	 {	 ·Ö¸ô·û	 < { ,->
 	59	 if	 ¹Ø¼ü×Ö	 < if ,->
	59	 (	 ·Ö¸ô·û	 < ( ,->
 	59	 ch	 ±êÊ¶·û	 <id, 11 >
 	59	 >=	 ²Ù×÷·û	 < >= ,GE>
 	59	 '0'	 ×Ö·û´®	 < '0' ,->
 	59	 ch	 ±êÊ¶·û	 <id, 11 >
 	59	 <=	 ²Ù×÷·û	 < <= ,LE>
 	59	 '9'	 ×Ö·û´®	 < '9' ,->
 	59	 )	 ·Ö¸ô·û	 < ) ,->
 	60	 return	 ¹Ø¼ü×Ö	 < return ,->
	60	 1	 ³£Êý	 <num, 1 >
	60	 ;	 ·Ö¸ô·û	 < ; ,->
 	61	 else	 ¹Ø¼ü×Ö	 < else ,->
	61	 return	 ¹Ø¼ü×Ö	 < return ,->
	61	 0	 ³£Êý	 <num, 0 >
	61	 ;	 ·Ö¸ô·û	 < ; ,->
 	62	 }	 ·Ö¸ô·û	 < } ,->
 	64	 int	 ¹Ø¼ü×Ö	 < int ,->
	64	 IsBound	 ±êÊ¶·û	 <id, 24 >
 	64	 (	 ·Ö¸ô·û	 < ( ,->
 	64	 char	 ¹Ø¼ü×Ö	 < char ,->
	64	 ch	 ±êÊ¶·û	 <id, 11 >
 	64	 )	 ·Ö¸ô·û	 < ) ,->
 	65	 {	 ·Ö¸ô·û	 < { ,->
 	66	 if	 ¹Ø¼ü×Ö	 < if ,->
	66	 (	 ·Ö¸ô·û	 < ( ,->
 	66	 ch	 ±êÊ¶·û	 <id, 11 >
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 '.'	 ×Ö·û´®	 < '.' ,->
 	66	 ch	 ±êÊ¶·û	 <id, 11 >
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 '{'	 ×Ö·û´®	 < '{' ,->
 	66	 ch	 ±êÊ¶·û	 <id, 11 >
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 '}'	 ×Ö·û´®	 < '}' ,->
 	66	 ch	 ±êÊ¶·û	 <id, 11 >
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 '['	 ×Ö·û´®	 < '[' ,->
 	66	 ch	 ±êÊ¶·û	 <id, 11 >
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 ']'	 ×Ö·û´®	 < ']' ,->
 	66	 ch	 ±êÊ¶·û	 <id, 11 >
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 '('	 ×Ö·û´®	 < '(' ,->
 	66	 ch	 ±êÊ¶·û	 <id, 11 >
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 ')'	 ×Ö·û´®	 < ')' ,->
 	66	 ch	 ±êÊ¶·û	 <id, 11 >
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 ','	 ×Ö·û´®	 < ',' ,->
 	66	 ch	 ±êÊ¶·û	 <id, 11 >
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 =	 ²Ù×÷·û	 < assign-op ,->
 	66	 ';'	 ×Ö·û´®	 < ';' ,->
 	67	 ch	 ±êÊ¶·û	 <id, 11 >
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 '#'	 ×Ö·û´®	 < '#' ,->
 	67	 ch	 ±êÊ¶·û	 <id, 11 >
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 '\\'	 ×Ö·û´®	 < '\\' ,->
 	67	 ch	 ±êÊ¶·û	 <id, 11 >
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 '\''	 ×Ö·û´®	 < '\'' ,->
 	67	 ch	 ±êÊ¶·û	 <id, 11 >
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 '\"'	 ×Ö·û´®	 < '\"' ,->
 	67	 ch	 ±êÊ¶·û	 <id, 11 >
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 '\?'	 ×Ö·û´®	 < '\?' ,->
 	67	 ch	 ±êÊ¶·û	 <id, 11 >
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 =	 ²Ù×÷·û	 < assign-op ,->
 	67	 ':'	 ×Ö·û´®	 < ':' ,->
 	67	 )	 ·Ö¸ô·û	 < ) ,->
 	68	 return	 ¹Ø¼ü×Ö	 < return ,->
	68	 1	 ³£Êý	 <num, 1 >
	68	 ;	 ·Ö¸ô·û	 < ; ,->
 	69	 else	 ¹Ø¼ü×Ö	 < else ,->
	69	 return	 ¹Ø¼ü×Ö	 < return ,->
	69	 0	 ³£Êý	 <num, 0 >
	69	 ;	 ·Ö¸ô·û	 < ; ,->
 	70	 }	 ·Ö¸ô·û	 < } ,->
 	72	 void	 ¹Ø¼ü×Ö	 < void ,->
	72	 Retract	 ±êÊ¶·û	 <id, 25 >
 	72	 (	 ·Ö¸ô·û	 < ( ,->
 	72	 )	 ·Ö¸ô·û	 < ) ,->
 	73	 {	 ·Ö¸ô·û	 < { ,->
 	74	 pos	 ±êÊ¶·û	 <id, 12 >
 	74	 --	 ²Ù×÷·û	 < -- ,->
 	74	 ;	 ·Ö¸ô·û	 < ; ,->
 	75	 ch	 ±êÊ¶·û	 <id, 11 >
 	75	 =	 ²Ù×÷·û	 < assign-op ,->
 	75	 ' '	 ×Ö·û´®	 < ' ' ,->
 	75	 ;	 ·Ö¸ô·û	 < ; ,->
 	76	 }	 ·Ö¸ô·û	 < } ,->
 	78	 int	 ¹Ø¼ü×Ö	 < int ,->
	78	 KeyList	 ±êÊ¶·û	 <id, 26 >
 	78	 (	 ·Ö¸ô·û	 < ( ,->
 	78	 char	 ¹Ø¼ü×Ö	 < char ,->
	78	 strToken	 ±êÊ¶·û	 <id, 10 >
 	78	 [	 ·Ö¸ô·û	 < [ ,->
 	78	 ]	 ·Ö¸ô·û	 < ] ,->
 	78	 )	 ·Ö¸ô·û	 < ) ,->
 	79	 {	 ·Ö¸ô·û	 < { ,->
 	80	 if	 ¹Ø¼ü×Ö	 < if ,->
	80	 (	 ·Ö¸ô·û	 < ( ,->
 	80	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	80	 (	 ·Ö¸ô·û	 < ( ,->
 	80	 strToken	 ±êÊ¶·û	 <id, 10 >
 	80	 ,	 ·Ö¸ô·û	 < , ,->
 	80	 "auto"	 ×Ö·û´®	 < "auto" ,->
 	80	 )	 ·Ö¸ô·û	 < ) ,->
 	80	 =	 ²Ù×÷·û	 < assign-op ,->
 	80	 =	 ²Ù×÷·û	 < assign-op ,->
